bibcode	doi	first_author_norm	title	refstatus	openaccess
2021ApJ...912..153K	10.3847/1538-4357/abf42d	Kerr, G	b'He I 10830 \xc3\x85 Dimming during Solar Flares. I. The Crucial Role of Nonthermal Collisional Ionizations'	1	1
2020ApJ...904...15Y	10.3847/1538-4357/abba81	Yan, X	b'Dynamics Evolution of a Solar Active-region Filament from a Quasi-static State to Eruption: Rolling Motion, Untwisting Motion, Material Transfer, and Chirality'	1	1
2020ApJ...889...65Z	10.3847/1538-4357/ab621f	Zuccarello, F	b'Continuum Enhancements, Line Profiles, and Magnetic Field Evolution during Consecutive Flares'	1	1
2020ApJ...898..144K	10.3847/1538-4357/aba117	Kontogiannis, I	b'High-resolution Spectroscopy of an Erupting Minifilament and Its Impact on the Nearby Chromosphere'	1	1
2020ApJ...891...91D	10.3847/1538-4357/ab6bc9	del Pino Aleman, T	b'The Magnetic Sensitivity of the Resonance and Subordinate Lines of Mg II in the Solar Chromosphere'	1	1
2020ApJ...890...96M	10.3847/1538-4357/ab6664	Murabito, M	b'Penumbral Brightening Events Observed in AR NOAA 12546'	1	1
2019ApJ...885..119K	10.3847/1538-4357/ab48ea	Kerr, G	b'Modeling Mg II during Solar Flares. II. Nonequilibrium Effects'	1	1
2019ApJ...883...57K	10.3847/1538-4357/ab3c24	Kerr, G	b'Modeling Mg II During Solar Flares. I. Partial Frequency Redistribution, Opacity, and Coronal Irradiation'	1	1
2020ApJ...890...32S	10.3847/1538-4357/ab65ec	Schad, A	b'Inference of Solar Rotation from Perturbations of Acoustic Mode Eigenfunctions'	1	1
2020ApJ...904...95Z	10.3847/1538-4357/abb77c	Zhou, Y	b'Spectroscopic Observations of High-speed Downflows in a C1.7 Solar Flare'	1	1
2020ApJ...889..187S	10.3847/1538-4357/ab5dcc	Sterling, A	b'Hi-C 2.1 Observations of Small-scale Miniature-filament-eruption-like Cool Ejections in an Active Region Plage'	1	1
2020ApJ...902..136G	10.3847/1538-4357/abb59e	Gimenez de Castro, C	b'The Submillimeter Active Region Excess Brightness Temperature during Solar Cycles 23 and 24'	1	1
